epoch,train_loss,train_mse,train_lpips,val_loss,val_mse,val_lpips,learning_rate
1,0.9769478403031826,1.448666349425912,0.505229327082634,0.7420703567564487,1.1758357256650924,0.30830498710274695,0.0001
2,0.69443848002702,1.114775170199573,0.2741017917171121,0.5952502153813839,0.9845428258180619,0.20595759712159634,0.0001
3,0.6094364348798991,0.9998652564361692,0.21900761192664503,0.547385747730732,0.9121097654104233,0.18266172856092452,0.0001
4,0.582642850279808,0.9557595159858465,0.209526183642447,0.5312797077000141,0.8803168401122093,0.18224258124828338,0.0001
5,0.5733735444024205,0.9399601802229881,0.20678690569475294,0.5257707260549068,0.8678452387452126,0.18369621373713016,0.0001
6,0.565694754384458,0.9254090581089258,0.20598045019432903,0.5210938833653926,0.8588500618934631,0.18333770632743834,0.0001
7,0.5600507613271475,0.9169804956763983,0.20312103293836117,0.5202959105372429,0.8518077582120895,0.1887840572744608,0.0001
8,0.5619377188384533,0.9229656394571066,0.20090979589149355,0.5194376096129417,0.8655037552118301,0.17337146475911142,0.0001
9,0.5544528054073453,0.9063433058559894,0.2025623037479818,0.5139107838273048,0.8499830603599549,0.17783851474523543,0.0001
10,0.5533978739753366,0.9072814825922251,0.19951426750048995,0.511993945389986,0.842148007452488,0.18183988109230995,0.0001
11,0.5537172632291913,0.9072330024093389,0.20020152563229204,0.5160100184381008,0.8403469011187553,0.19167313240468503,0.0001
12,0.553979922644794,0.9096323534846306,0.19832748901098968,0.5101482182741165,0.8411946699023247,0.17910176813602446,0.0001
13,0.5524567933753133,0.9071727242320776,0.19774086326360701,0.5089624561369419,0.8438396975398064,0.1740852128714323,0.0001
14,0.5474580092355609,0.9014117794111371,0.19350423607975245,0.5096237197518348,0.8408006578683853,0.1784467812627554,0.0001
15,0.549406630732119,0.902911776676774,0.1959014811553061,0.5081806972622871,0.8385185495018959,0.1778428379446268,0.0001
16,0.5419455476105213,0.8901532042771578,0.19373788805678488,0.5085011042654515,0.8416446223855019,0.17535758391022682,0.0001
17,0.547235463000834,0.9004625748842955,0.19400835148990153,0.5092806167900562,0.8315177910029888,0.18704344592988492,0.0001
18,0.5501517083495855,0.9082615295425057,0.1920418869704008,0.5081791691482067,0.835893015563488,0.180465329810977,0.0001
19,0.5448684584349394,0.898587916791439,0.19114899830892682,0.5065390929579735,0.8425649464130401,0.1705132381990552,0.0001
20,0.545042697712779,0.9004452416673303,0.18964015459641814,0.5049546375870705,0.8394671857357026,0.17044208738952876,0.0001
21,0.5404804794117808,0.8891044374555349,0.1918565198779106,0.5047771632671356,0.8390573188662529,0.1704970056191087,0.0001
22,0.5447081509977579,0.89942537676543,0.18999092504382134,0.5045204035937786,0.8397741883993148,0.16926662176847457,0.0001
23,0.5406464440748096,0.8938094044104219,0.18748348047956825,0.5058964841067791,0.8385400265455246,0.17325293645262718,0.0001
24,0.5369169604033232,0.8864637369289994,0.187370184622705,0.5040177866816521,0.8397310599684715,0.16830451395362617,0.0001
25,0.5393236318603158,0.8914278998970986,0.18721936298534275,0.5043806478381156,0.8403979659080505,0.16836333367973566,0.0001
26,0.5315755534917116,0.878784510679543,0.18436659974977374,0.5030062653124332,0.8345563516020775,0.17145618069916962,0.0001
27,0.5417450375854969,0.8967990005388856,0.1866910709068179,0.5032869666814804,0.8422267854213714,0.16434714626520872,0.0001
28,0.5433411663398147,0.8967933621257543,0.1898889665491879,0.5031421236693859,0.8334760375320911,0.1728082126006484,0.0001
29,0.5415950460359454,0.89687739610672,0.18631269577890636,0.5026700422167778,0.8354177176952362,0.16992236860096455,0.0001
30,0.5376681163907051,0.8898622747510672,0.1854739579372108,0.503381759673357,0.843251746892929,0.1635117707774043,0.0001
